bioguide_id,full_name,party,state,chamber,lastname_used,actblue_url
W000790,"Warnock, Raphael G.",Democratic,Georgia,SENATE,warnock,https://secure.actblue.com/donate/dmfipacwarnock
W000805,"Warner, Mark R.",Democratic,Virginia,SENATE,warner,https://secure.actblue.com/donate/dmfipacwarner
S001203,"Smith, Tina",Democratic,Minnesota,SENATE,smith,https://secure.actblue.com/donate/dmfipacsmith
S001181,"Shaheen, Jeanne",Democratic,New Hampshire,SENATE,shaheen,https://secure.actblue.com/donate/dmfipacshaheen
R000122,"Reed, Jack",Democratic,Rhode Island,SENATE,reed,https://secure.actblue.com/donate/dmfipacreed
P000145,"Padilla, Alex",Democratic,California,SENATE,padilla,https://secure.actblue.com/donate/dmfipacpadilla
O000174,"Ossoff, Jon",Democratic,Georgia,SENATE,ossoff,https://secure.actblue.com/donate/dmfipacossoff
M001111,"Murray, Patty",Democratic,Washington,SENATE,murray,https://secure.actblue.com/donate/dmfipacmurray
K000377,"Kelly, Mark",Democratic,Arizona,SENATE,kelly,https://secure.actblue.com/donate/dmfipackelly
K000394,"Kim, Andy",Democratic,New Jersey,SENATE,kim,https://secure.actblue.com/donate/dmfipackim
H000273,"Hickenlooper, John W.",Democratic,Colorado,SENATE,hickenlooper,https://secure.actblue.com/donate/dmfipachickenlooper
F000479,"Fetterman, John",Democratic,Pennsylvania,SENATE,fetterman,https://secure.actblue.com/donate/dmfipacfetterman
B001288,"Booker, Cory A.",Democratic,New Jersey,SENATE,booker,https://secure.actblue.com/donate/dmfipacbooker
B001267,"Bennet, Michael F.",Democratic,Colorado,SENATE,bennet,https://secure.actblue.com/donate/dmfipacbennet
P000621,"Pou, Nellie",Democratic,New Jersey,HOUSE,pou,https://secure.actblue.com/donate/dmfipac-pou
G000581,"Gonzalez, Vicente",Democratic,Texas,HOUSE,gonzalez,https://secure.actblue.com/donate/dmfipac-gonzalez
M001220,"McGarvey, Morgan",Democratic,Kentucky,HOUSE,mcgarvey,https://secure.actblue.com/donate/dmfipacmcgarvey
H001094,"Hoyle, Val T.",Democratic,Oregon,HOUSE,hoyle,https://secure.actblue.com/donate/dmfipachoyle
F000477,"Foushee, Valerie P.",Democratic,North Carolina,HOUSE,foushee,https://secure.actblue.com/donate/dmfipacfoushee
S001159,"Strickland, Marilyn",Democratic,Washington,HOUSE,strickland,https://secure.actblue.com/donate/dmfipacstrickland
H001090,"Harder, Josh",Democratic,California,HOUSE,harder,https://secure.actblue.com/donate/dmfipacharder
L000582,"Lieu, Ted",Democratic,California,HOUSE,lieu,https://secure.actblue.com/donate/dmfipaclieu
B001287,"Bera, Ami",Democratic,California,HOUSE,bera,https://secure.actblue.com/donate/dmfipac-bera
P000197,"Pelosi, Nancy",Democratic,California,HOUSE,pelosi,https://secure.actblue.com/donate/dmfipacpelosi
C001059,"Costa, Jim",Democratic,California,HOUSE,costa,https://secure.actblue.com/donate/dmfipac-costa
A000148,"Auchincloss, Jake",Democratic,Massachusetts,HOUSE,auchincloss,https://secure.actblue.com/donate/dmfipacauchincloss
M000687,"Mfume, Kweisi",Democratic,Maryland,HOUSE,mfume,https://secure.actblue.com/donate/dmfipacmfume
U000040,"Underwood, Lauren",Democratic,Illinois,HOUSE,underwood,https://secure.actblue.com/donate/dmfipacunderwood
C001117,"Casten, Sean",Democratic,Illinois,HOUSE,casten,https://secure.actblue.com/donate/dmfipaccasten
H001081,"Hayes, Jahana",Democratic,Connecticut,HOUSE,hayes,https://secure.actblue.com/donate/dmfipachayes
C001121,"Crow, Jason",Democratic,Colorado,HOUSE,crow,https://secure.actblue.com/donate/dmfipaccrow
K000391,"Krishnamoorthi, Raja",Democratic,Illinois,HOUSE,krishnamoorthi,https://secure.actblue.com/donate/dmfipackrishnamoorthi
M001196,"Moulton, Seth",Democratic,Massachusetts,HOUSE,moulton,https://secure.actblue.com/donate/dmfipacmoulton
C001101,"Clark, Katherine M.",Democratic,Massachusetts,HOUSE,clark,https://secure.actblue.com/donate/dmfipac-clark
D000617,"DelBene, Suzan K.",Democratic,Washington,HOUSE,delbene,https://secure.actblue.com/donate/dmfipac-delbene
W000808,"Wilson, Frederica S.",Democratic,Florida,HOUSE,wilson,https://secure.actblue.com/donate/dmfipac-wilson
C001066,"Castor, Kathy",Democratic,Florida,HOUSE,castor,https://secure.actblue.com/donate/dmfipac-castor
N000015,"Neal, Richard E.",Democratic,Massachusetts,HOUSE,neal,https://secure.actblue.com/donate/dmfipacneal
S001157,"Scott, David",Democratic,Georgia,HOUSE,scott,https://secure.actblue.com/donate/dmfipacscott
L000557,"Larson, John B.",Democratic,Connecticut,HOUSE,larson,https://secure.actblue.com/donate/dmfipaclarson
S000510,"Smith, Adam",Democratic,Washington,HOUSE,smith,https://secure.actblue.com/donate/dmfipacsmith
B000490,"Bishop, Sanford D.",Democratic,Georgia,HOUSE,bishop,https://secure.actblue.com/donate/dmfipacbishop
